n,mean_pred,mean_actual,min_pred,max_pred
25,293263.2496,306815.84,147694.17,362441.6
25,371058.70399999997,384205.4,364504.75,377609.97
25,391814.6592,393241.52,377737.84,397747.03
25,407856.9996,404722.6,397747.03,421335.66
25,434488.03800000006,465673.4,421678.5,446717.94
25,450975.6328,463565.68,446717.94,458524.28
25,470456.7372,448994.0,458524.28,478495.28
25,492506.83759999997,486626.28,478495.28,504617.84
25,512099.34719999996,471507.92,506011.1,525077.5
25,534921.0324,517755.56,525077.5,553792.25
24,566771.3483333333,527834.3333333334,553839.8,591767.06
25,606278.02,562840.52,593742.75,617425.44
25,629567.2224,566153.92,618485.06,650214.25
25,654798.7764,519089.0,650214.25,661206.1
25,674713.6576,611529.56,661206.1,689995.7
25,703623.9928,672079.52,689995.7,718389.94
25,735577.682,655454.36,718389.94,757755.06
25,773745.8424,676191.8,760878.25,787812.9
25,826377.412,729108.56,787820.4,965911.8
25,1319677.5704,1554660.16,994928.3,2327419.2
